number, type, name   , long_name, descriptive_name                           , grib  , gribsrc, gribddp, gribsdm, gribwdl, gribwdc, gribngt, gribmss, gribod , advect, ddepvsea  , ddepvlic  , sedimv    , scavin, scavbcr, scavbcs, optclass, hygclass, aerocv
1     , SU  , SO4    , SO4      , Sulfuric_acid_NOT_SULFATE                  , 11.210, 4.215  , 41.212 , 158.216, 184.216, 48.215 , 236.216, 107.200, 85.200 , true  , 0.0015    , 0.0025    , 0.0       , 0.7   , 0.001  , 0.01   , Sulphate, Sulphate, 1
2     , AM  , AM_AS  , AM_AS    , ammonium_wet_accumulation                  , 35.212, 106.216, 112.216, 159.216, 51.212 , 50.215 , 237.216, 108.200, 86.200 , true  , 1.5000E-03, 1.5000E-03, 1.0000E-03, 0.9   , 0.0001 , 0.005  , Ammonium, Ammonium, 1
3     , NI  , NI_AS  , NI_AS    , nitrate_wet_accumulation                   , 36.212, 7.215  , 14.215 , 107.216, 113.216, 52.215 , 61.212 , 109.200, 87.200 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , Nitrate , Nitrate , 1
4     , AS  , AS_N   , AS_N     , number_wet_accumulation                    , 1.212 , 18.216 , 17.215 , 160.216, 185.216, 54.215 , 238.216, 110.200, 71.212 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
5     , AS  , SO4_AS , SO4_AS   , sulphate_wet_accumulation                  , 2.212 , 19.216 , 20.215 , 161.216, 186.216, 56.215 , 239.216, 111.200, 88.200 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
6     , AS  , BC_AS  , BC_AS    , black_carbon_wet_accumulation              , 3.212 , 28.216 , 81.212 , 162.216, 187.216, 58.215 , 240.216, 112.200, 89.200 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
7     , AS  , POM_AS , POM_AS   , particulate_organic_matter_wet_accumulation, 4.212 , 29.216 , 23.215 , 163.216, 91.212 , 60.215 , 241.216, 113.200, 90.200 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
8     , AS  , SS_AS  , SS_AS    , seasalt_wet_accumulation                   , 5.212 , 38.216 , 3.215  , 164.216, 188.216, 62.215 , 242.216, 114.200, 91.200 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
9     , AS  , DU_AS  , DU_AS    , dust_wet_accumulation                      , 6.212 , 39.216 , 6.215  , 37.215 , 189.216, 64.215 , 243.216, 115.200, 111.212, true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
10    , SOA , SOA_NS , SOA_NS   , SOA_wet_nucleation                         , 7.212 , 1.215  , 9.215  , 40.215 , 190.216, 49.215 , 244.216, 116.200, 92.200 , true  , 1.5000E-03, 1.5000E-03, 1.0226E-04, 0.8   , 0.0001 , 0.005  , m7opt   , m7hyg   , 1
